OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2016-04-15,1,1,2016-04-15T07:00:00-00:00,2016-04-15T07:15:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,1,2,2016-04-15T07:15:00-00:00,2016-04-15T07:30:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,1,3,2016-04-15T07:30:00-00:00,2016-04-15T07:45:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,1,4,2016-04-15T07:45:00-00:00,2016-04-15T08:00:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,2,1,2016-04-15T08:00:00-00:00,2016-04-15T08:15:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,2,2,2016-04-15T08:15:00-00:00,2016-04-15T08:30:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,2,3,2016-04-15T08:30:00-00:00,2016-04-15T08:45:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,2,4,2016-04-15T08:45:00-00:00,2016-04-15T09:00:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,3,1,2016-04-15T09:00:00-00:00,2016-04-15T09:15:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,3,2,2016-04-15T09:15:00-00:00,2016-04-15T09:30:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
2016-04-15,3,3,2016-04-15T09:30:00-00:00,2016-04-15T09:45:00-00:00,NP15,Solar,Renewable Forecast RTPD,RENEW_FCST_15MIN_MW,4,2,0,RTPD,1
